time,temperature,co2_ppm,time_ordinal,time_scaled,temperature_scaled,co2_scaled
1850-01-01,-0.7062136524250896,285.2368319410159,0,0.0,0.1946158429315713,0.03254846914762233
1850-02-01,-0.1102830195806908,285.5665064008736,31,0.000517797190532663,0.42349634822214993,0.03535675891368362
1850-03-01,-0.2302982688674389,285.87969912823337,59,0.0009854849755299069,0.3774018040162003,0.03802465114721887
1850-04-01,-0.4843766276249405,286.1030572297838,90,0.0015032821660625698,0.2798173203016299,0.039927298598349203
1850-05-01,-0.569811538796533,286.06027266325776,120,0.00200437622141676,0.24700412936852417,0.03956284373468666
1850-06-01,-0.2944601228622673,285.2493399886143,151,0.002522173411949423,0.3527590070976685,0.03265501735302179
1850-07-01,-0.10016827667468,283.28019321912603,181,0.0030232674673036125,0.4273811417528368,0.01588109218146405
1850-08-01,-0.1228638153465414,281.41585907877226,212,0.0035410646578362755,0.4186644118638837,0.0
1850-09-01,-0.3522434029299031,281.4819741213763,243,0.004058861848368939,0.3305660443427555,0.0005631925433586815
1850-10-01,-0.5505964901309913,282.8383280638707,273,0.0045599559037231285,0.2543840991256764,0.012117120310490392
1850-11-01,-0.4635490467538151,284.06335819526953,304,0.0050777530942557915,0.28781661916467105,0.022552382971144258
1850-12-01,-0.4843057207099392,284.8522837080779,334,0.005578847149609981,0.27984455369028227,0.029272744156420227
1851-01-01,0.0096487854414552,285.3510738363384,365,0.006096644340142644,0.4695588437895616,0.03352162413702642
1851-02-01,-0.3302212243975603,285.68365206447646,396,0.006614441530675307,0.33902415519036155,0.036354649282189566
1851-03-01,-0.4243948178747993,285.99980327559103,424,0.007082129315672551,0.3028546776167393,0.03904774298160518
1851-04-01,-0.5618905386056979,286.2265107317324,455,0.007599926506205214,0.25004636688102083,0.040978921481894304
1851-05-01,-0.2802922766494281,286.1870558741063,485,0.008101020561559404,0.3582004857217764,0.04064283031808191
1851-06-01,-0.1604355489513754,285.3808084516172,516,0.008618817752092067,0.4042341461615284,0.033774914658291966
1851-07-01,-0.1168323070700858,283.4137988695686,546,0.009119911807446257,0.42098094769187144,0.017019194844884566
1851-08-01,-0.2565163882164195,281.5474303549307,577,0.00963770899797892,0.3673321481307137,0.0011207731059994508
1851-09-01,-0.2738968051048153,281.616073849525,608,0.010155506188511583,0.3606568097937841,0.0017055039445939002
1851-10-01,-0.0327321021057091,282.97802560876914,638,0.010656600243865774,0.45328151481561885,0.01330711599851453
1851-11-01,-0.1886847595420458,284.2075435883322,669,0.011174397434398436,0.39338440419879084,0.023780607820373945
1851-12-01,-0.0921809321163922,284.99688603954553,699,0.011675491489752625,0.43044886030542245,0.030504520642182786
1852-01-01,-0.1391599423817239,285.4988672793353,730,0.012193288680285288,0.4124055193275339,0.03478058369864456
1852-02-01,-0.4186856779565501,285.8321071756622,761,0.012711085870817951,0.30504740065738334,0.03761924517973769
1852-03-01,-0.5987732678222637,286.148626883236,790,0.01319547679099367,0.23588072874409466,0.04031547786916079
1852-04-01,-0.4790565066501699,286.3754273544123,821,0.013713273981526332,0.28186063190502997,0.04224744870614128
1852-05-01,-0.0588949709510735,286.3357185198937,851,0.014214368036880521,0.44323307912336996,0.04190919407261884
1852-06-01,-0.0499479078992571,285.52891332696987,882,0.014732165227413184,0.4466693990560979,0.03503652711664307
1852-07-01,0.0241554195156611,283.56125192241905,912,0.015233259282767374,0.4751304414789133,0.018275254836529697
1852-08-01,-0.2941023476159433,281.6942593506236,943,0.015751056473300037,0.352896418693324,0.0023715171464795404
1852-09-01,-0.2226235878539103,281.76218211750927,974,0.0162688536638327,0.380349437132384,0.002950108558170683
1852-10-01,-0.1392554380650203,283.1232821678821,1004,0.01676994771918689,0.4123688420717573,0.014544465438887322
1852-11-01,-0.4343495353145749,284.3517485413728,1035,0.017287744909719554,0.29903134545009824,0.02500899928877587
1852-12-01,0.0567573517856157,285.1398011327673,1065,0.017788838965073744,0.48765194368090664,0.03172192460451484
1853-01-01,-0.1996351312075943,285.6404845263634,1096,0.018306636155606407,0.38917866872926554,0.035986932123992954
1853-02-01,-0.1985582009606169,285.9722002038838,1127,0.01882443334613907,0.3895922879082535,0.03881260974192147
1853-03-01,-0.3791124650734911,286.28712790736444,1155,0.019292121131136312,0.3202463792992669,0.04149528114787637
1853-04-01,-0.1946857826647578,286.51228238753333,1186,0.019809918321668975,0.3910795768768072,0.04341323082075732
1853-05-01,-0.2247173575402526,286.47083360460067,1216,0.020311012377023166,0.37954527799479315,0.04306015465897106
1853-06-01,-0.1199031341418331,285.6621772629538,1247,0.02082880956755583,0.41980152778441215,0.03617171892910598
1853-07-01,0.0853549836286717,283.69295186737435,1277,0.02132990362291002,0.49863550462844675,0.019397123991236054
1853-08-01,-0.0032605377659084,281.8248960961236,1308,0.021847700813442682,0.46460072911007627,0.0034843295724633627
1853-09-01,-0.3506927882886815,281.8916297879631,1339,0.022365498003975345,0.33116159262141975,0.004052792000293515
1853-10-01,-0.4820660873415424,283.25143519130756,1369,0.022866592059329536,0.28070473504155397,0.015636120595707403
1853-11-01,-0.5692155602804354,284.4786139080848,1400,0.0233843892498622,0.24723302826445048,0.026089685706397248
1853-12-01,-0.3459444353377168,285.2654554861563,1430,0.023885483305216386,0.3329853039106472,0.03279229515986781
1854-01-01,-0.4352365299324116,285.76509391737574,1461,0.02440328049574905,0.29869067530305193,0.03704840130084719
1854-02-01,-0.5471420529342044,286.0954514011336,1492,0.024921077686281712,0.2557108530925288,0.039862509318736805
