time,co2_ppm,co2_scaled,time_ordinal,time_scaled,predicted_temperature
2014-01-01,398.86691819218805,0.0,0,0.0,-0.28982675
2014-02-01,398.924657057153,0.0038022813688165513,31,0.003873063468265867,-0.2952856
2014-03-01,398.9823959221181,0.007604562737640208,59,0.007371314342828585,-0.30045098
2014-04-01,399.0401347870832,0.01140684410647097,90,0.011244377811094452,-0.30603328
2014-05-01,399.0978736520482,0.015209125475287522,120,0.014992503748125937,-0.31172064
2014-06-01,399.1556125170132,0.019011406844107626,151,0.018865567216391804,-0.31749973
2014-07-01,399.2133513819782,0.02281368821292773,181,0.02261369315342329,-0.3231871
2014-08-01,399.2710902469432,0.02661596958174428,212,0.026486756621689155,-0.32896632
2014-09-01,399.32882911190825,0.030418250950567938,243,0.030359820089955022,-0.33487236
2014-10-01,399.3865679768733,0.03422053231939515,273,0.0341079460269865,-0.34230268
2014-11-01,399.4443068418384,0.038022813688218804,304,0.03798100949525237,-0.34983745
2014-12-01,399.50204570680336,0.041825095057035355,334,0.041729135432283855,-0.35726786
2015-01-01,399.5597845717684,0.04562737642585546,365,0.04560219890054972,-0.3648027
2015-02-01,399.6175234367334,0.04942965779467556,396,0.04947526236881559,-0.37233737
2015-03-01,399.6752623016984,0.05323193916349567,424,0.05297351324337831,-0.3795588
2015-04-01,399.7330011666635,0.05703422053232288,455,0.05684657671164418,-0.38709357
2015-05-01,399.7907400316285,0.06083650190114298,485,0.06059470264867566,-0.39452404
2015-06-01,399.8484788965935,0.06463878326996308,516,0.06446776611694152,-0.40205872
2015-07-01,399.90621776155854,0.06844106463878319,546,0.068215892053973,-0.40757686
2015-08-01,399.9639566265236,0.07224334600760685,577,0.07208895552223887,-0.40998513
2015-09-01,400.0216954914886,0.07604562737642695,608,0.07596201899050474,-0.41123798
2015-10-01,400.0794343564536,0.07984790874524705,638,0.07971014492753623,-0.41250357
2015-11-01,400.13717322141866,0.08365019011407071,669,0.08358320839580209,-0.4136523
2015-12-01,400.1949120863837,0.08745247148289081,699,0.08733133433283358,-0.40966675
2016-01-01,400.2526509513487,0.09125475285171092,730,0.09120439780109944,-0.4037742
2016-02-01,400.3103898163137,0.09505703422053102,761,0.09507746126936531,-0.39788178
2016-03-01,400.36812868127873,0.09885931558935468,790,0.09870064967516241,-0.39268184
2016-04-01,400.42586754624375,0.10266159695817478,821,0.10257371314342828,-0.38678932
2016-05-01,400.4836064112088,0.10646387832699844,851,0.10632183908045977,-0.38124326
2016-06-01,400.5413452761738,0.11026615969581499,882,0.11019490254872563,-0.37526217
2016-07-01,400.59908414113886,0.11406844106463865,912,0.11394302848575712,-0.36960384
2016-08-01,400.6568230061039,0.1178707224334623,943,0.11781609195402298,-0.36359188
2016-09-01,400.7145618710689,0.12167300380228241,974,0.12168915542228885,-0.3575801
2016-10-01,400.7723007360339,0.1254752851711025,1004,0.12543728135932034,-0.3519216
2016-11-01,400.830039600999,0.12927756653992617,1035,0.12931034482758622,-0.3459097
2016-12-01,400.887778465964,0.13307984790874627,1065,0.1330584707646177,-0.3402513
2017-01-01,400.945517330929,0.13688212927756638,1096,0.13693153423288357,-0.33707127
2017-02-01,401.0032561958941,0.1406844106463936,1127,0.14080459770114942,-0.33622906
2017-03-01,401.0609950608591,0.1444866920152137,1155,0.14430284857571213,-0.33631456
2017-04-01,401.1187339258241,0.14828897338403024,1186,0.148175912043978,-0.33534074
2017-05-01,401.1764727907892,0.15209125475285745,1216,0.15192403798100948,-0.33450565
2017-06-01,401.23421165575417,0.155893536121674,1247,0.15579710144927536,-0.3333629
2017-07-01,401.2919505207192,0.1596958174904941,1277,0.15954522738630683,-0.33252782
2017-08-01,401.3496893856842,0.16349809885931776,1308,0.1634182908545727,-0.33138508
2017-09-01,401.4074282506492,0.16730038022813787,1339,0.16729135432283856,-0.3302424
2017-10-01,401.46516711561424,0.17110266159695797,1369,0.17103948025987006,-0.3294073
2017-11-01,401.52290598057925,0.17490494296577808,1400,0.17491254372813592,-0.32826462
2017-12-01,401.5806448455443,0.17870722433460173,1430,0.17866066966516742,-0.32742956
2018-01-01,401.6383837105093,0.18250950570342184,1461,0.18253373313343327,-0.32628688
2018-02-01,401.6961225754744,0.18631178707224905,1492,0.18640679660169915,-0.3251568
2018-03-01,401.7538614404394,0.1901140684410656,1520,0.18990504747626186,-0.32495123
2018-04-01,401.8116003054044,0.1939163498098857,1551,0.19377811094452774,-0.32382387
2018-05-01,401.8693391703694,0.1977186311787058,1581,0.1975262368815592,-0.32293206
2018-06-01,401.9270780353345,0.20152091254752946,1612,0.2013993003498251,-0.32211372
2018-07-01,401.9848169002995,0.20532319391635312,1642,0.20514742628685656,-0.3219784
2018-08-01,402.0425557652645,0.20912547528517322,1673,0.20902048975512244,-0.32156304
2018-09-01,402.1002946302296,0.21292775665399688,1704,0.2128935532233883,-0.3450754
2018-10-01,402.15803349519456,0.21673003802281343,1734,0.2166416791604198,-0.36805758
2018-11-01,402.2157723601596,0.22053231939163354,1765,0.22051474262868564,-0.38915002
2018-12-01,402.2735112251247,0.2243346007604643,1795,0.22426286856571714,-0.40945056
2019-01-01,402.33125009008967,0.22813688212928085,1826,0.228135932033983,-0.4304954
2019-02-01,402.3889889550547,0.23193916349810095,1857,0.23200899550224888,-0.4525234
2019-03-01,402.4467278200197,0.23574144486692106,1885,0.23550724637681159,-0.47401258
2019-04-01,402.5044666849847,0.23954372623574116,1916,0.23938030984507747,-0.47142547
2019-05-01,402.56220554994974,0.24334600760456127,1946,0.24312843578210894,-0.46398613
2019-06-01,402.6199444149148,0.24714828897338847,1977,0.24700149925037482,-0.45637137
2019-07-01,402.67768327987983,0.2509505703422086,2007,0.2507496251874063,-0.4489541
2019-08-01,402.7354221448449,0.25475285171103224,2038,0.25462268865567217,-0.4413394
2019-09-01,402.79316100980986,0.2585551330798488,2069,0.25849575212393805,-0.4337247
2019-10-01,402.8508998747749,0.2623574144486689,2099,0.2622438780609695,-0.42683277
2019-11-01,402.9086387397399,0.266159695817489,2130,0.2661169415292354,-0.4200208
2019-12-01,402.9663776047049,0.26996197718631265,2160,0.2698650674662669,-0.41327804
2020-01-01,403.02411646967,0.2737642585551363,2191,0.2737381309345327,-0.40593734
2020-02-01,403.081855334635,0.2775665399239564,2222,0.2776111944027986,-0.39859673
2020-03-01,403.1395941996,0.2813688212927765,2251,0.2812343828085957,-0.39140633
2020-04-01,403.197333064565,0.28517110266159307,2282,0.2851074462768616,-0.3822197
2020-05-01,403.25507192953006,0.2889733840304203,2312,0.288855572213893,-0.37327465
2020-06-01,403.3128107944951,0.2927756653992404,2343,0.2927286356821589,-0.36408803
