time,temperature,co2_ppm
1850-01-01,-0.7062136524250896,285.2368319410159
1850-02-01,-0.11028301958069087,285.5665064008736
1850-03-01,-0.2302982688674389,285.87969912823337
1850-04-01,-0.48437662762494055,286.1030572297838
1850-05-01,-0.569811538796533,286.06027266325776
1850-06-01,-0.29446012286226736,285.2493399886143
1850-07-01,-0.10016827667468008,283.28019321912603
1850-08-01,-0.1228638153465414,281.41585907877226
1850-09-01,-0.35224340292990314,281.4819741213763
1850-10-01,-0.5505964901309913,282.8383280638707
1850-11-01,-0.46354904675381514,284.06335819526953
1850-12-01,-0.48430572070993927,284.8522837080779
1851-01-01,0.009648785441455289,285.3510738363384
1851-02-01,-0.33022122439756035,285.68365206447646
1851-03-01,-0.4243948178747993,285.99980327559103
1851-04-01,-0.5618905386056979,286.2265107317324
1851-05-01,-0.2802922766494281,286.1870558741063
1851-06-01,-0.16043554895137546,285.3808084516172
1851-07-01,-0.11683230707008585,283.4137988695686
1851-08-01,-0.25651638821641953,281.5474303549307
1851-09-01,-0.27389680510481534,281.616073849525
1851-10-01,-0.03273210210570916,282.97802560876914
1851-11-01,-0.18868475954204583,284.2075435883322
1851-12-01,-0.09218093211639228,284.99688603954553
1852-01-01,-0.13915994238172397,285.4988672793353
1852-02-01,-0.41868567795655015,285.8321071756622
1852-03-01,-0.5987732678222637,286.148626883236
1852-04-01,-0.47905650665016997,286.3754273544123
1852-05-01,-0.05889497095107353,286.3357185198937
1852-06-01,-0.04994790789925712,285.52891332696987
1852-07-01,0.02415541951566116,283.56125192241905
1852-08-01,-0.29410234761594334,281.6942593506236
1852-09-01,-0.2226235878539103,281.76218211750927
1852-10-01,-0.13925543806502036,283.1232821678821
1852-11-01,-0.43434953531457493,284.3517485413728
1852-12-01,0.056757351785615716,285.1398011327673
1853-01-01,-0.19963513120759432,285.6404845263634
1853-02-01,-0.19855820096061697,285.9722002038838
1853-03-01,-0.3791124650734911,286.28712790736444
1853-04-01,-0.19468578266475783,286.51228238753333
1853-05-01,-0.22471735754025265,286.47083360460067
1853-06-01,-0.11990313414183311,285.6621772629538
1853-07-01,0.08535498362867176,283.69295186737435
1853-08-01,-0.003260537765908402,281.8248960961236
1853-09-01,-0.3506927882886815,281.8916297879631
1853-10-01,-0.48206608734154244,283.25143519130756
1853-11-01,-0.5692155602804354,284.4786139080848
1853-12-01,-0.3459444353377168,285.2654554861563
1854-01-01,-0.43523652993241163,285.76509391737574
1854-02-01,-0.5471420529342044,286.0954514011336
1854-03-01,-0.17715257912138585,286.4089627018681
1854-04-01,-0.381420599447593,286.63256771511504
1854-05-01,-0.3066827445441359,286.5893842744239
1854-06-01,-0.45156578929466396,285.7786250093248
1854-07-01,-0.1601132852255611,283.8075695862005
1854-08-01,-0.15408777008226374,281.93830110149617
1854-09-01,-0.16898335554737715,282.0031685435919
1854-10-01,0.0953605712748374,283.36062411037494
1854-11-01,-0.13791891655415828,284.58548748204737
1854-12-01,-0.26811783472294787,285.37040546982377
1855-01-01,0.0039270691602285804,285.8703552735882
1855-02-01,-0.07620043935365427,286.1990235491152
1855-03-01,-0.21489663247536106,286.5109858270339
1855-04-01,-0.11822747450769955,286.7328545214806
1855-05-01,-0.2646007826725308,286.68791656211573
1855-06-01,-0.30175600360496824,285.8742502400905
1855-07-01,-0.30611725067788753,283.9025794785111
1855-08-01,-0.19651111084117723,282.03649603196135
1855-09-01,-0.41789001491086986,282.10091110512064
1855-10-01,-0.32909434593286446,283.4554811812036
1855-11-01,-0.3186858933546782,284.6783751372349
1855-12-01,-0.551894071324795,285.46462502326494
1856-01-01,0.16591353447571017,285.9611126252163
1856-02-01,-0.25230222840652194,286.29071262500906
1856-03-01,-0.25650042489856006,286.60397718406017
1856-04-01,-0.38610373246394103,286.82785548033536
1856-05-01,-0.3744975703825297,286.78542261712346
1856-06-01,-0.1340484898262067,285.9759510417043
1856-07-01,-0.1990826793964562,284.00714697755416
1856-08-01,-0.49270773272021406,282.14135301613516
1856-09-01,-0.6221523661123972,282.2103727599721
1856-10-01,-0.639420297567033,283.57255334971865
1856-11-01,-0.4764157622168658,284.8026210488213
1856-12-01,-0.4608831030259456,285.5931484264798
1857-01-01,-0.4364674046165669,286.0965220100497
1857-02-01,-0.5347694213386557,286.43096763186986
1857-03-01,-0.4923104737061667,286.7488756886235
1857-04-01,-0.7200245803880871,286.9770828703892
1857-05-01,-0.7237757053773268,286.9384857229539
1857-06-01,-0.5045667664694649,286.1322530336733
1857-07-01,-0.42439629809852236,284.1663168443279
1857-08-01,-0.39555665384624683,282.3030940595085
1857-09-01,-0.445736835301137,282.3740335864785
1857-10-01,-0.5355448862153037,283.73753676002406
1857-11-01,-0.38657894129678716,284.96842299331854
1857-12-01,-0.27511796228458896,285.7593522158964
1858-01-01,-0.210362577319717,286.26646622693096
1858-02-01,-0.44013325762951744,286.6010949551618
1858-03-01,-0.1803700152201677,286.9190586278468
1858-04-01,-0.28090041245225766,287.1467881996249
1858-05-01,-0.3905967452923494,287.1074184036255
1858-06-01,-0.21886996029676334,286.29856814584616
1858-07-01,-0.21109099894021385,284.3330651247943
1858-08-01,-0.3111332402036776,282.4755076975881
1858-09-01,-0.39916077058409216,282.5468504804446
1858-10-01,-0.2753748151333111,283.90712590205817
1858-11-01,-0.13311322126365127,285.1358001756079
1858-12-01,-0.4959581245166904,285.92880531876176
1859-01-01,-0.3417974111260112,286.4349297572948
1859-02-01,-0.3016200543151553,286.7707924911122
1859-03-01,-0.2617177989669294,287.0900878195115
1859-04-01,-0.0037802276383853803,287.3191821246677
